INFO  - 2018-07-15 14:26:46.426; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/payam/Documents/business/website/projects/payamQorbanpour/solr-4.10.4/contrib/extraction/lib/rome-0.9.jar' to classloader
INFO  - 2018-07-15 14:26:46.426; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/payam/Documents/business/website/projects/payamQorbanpour/solr-4.10.4/contrib/extraction/lib/juniversalchardet-1.0.3.jar' to classloader
INFO  - 2018-07-15 14:26:46.426; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/payam/Documents/business/website/projects/payamQorbanpour/solr-4.10.4/contrib/extraction/lib/bcprov-jdk15-1.45.jar' to classloader
INFO  - 2018-07-15 14:26:46.426; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/payam/Documents/business/website/projects/payamQorbanpour/solr-4.10.4/contrib/extraction/lib/poi-ooxml-schemas-3.10.1.jar' to classloader
INFO  - 2018-07-15 14:26:46.426; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/payam/Documents/business/website/projects/payamQorbanpour/solr-4.10.4/contrib/extraction/lib/xz-1.4.jar' to classloader
INFO  - 2018-07-15 14:26:46.426; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/payam/Documents/business/website/projects/payamQorbanpour/solr-4.10.4/contrib/extraction/lib/isoparser-1.0-RC-1.jar' to classloader
INFO  - 2018-07-15 14:26:46.427; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/payam/Documents/business/website/projects/payamQorbanpour/solr-4.10.4/contrib/extraction/lib/metadata-extractor-2.6.2.jar' to classloader
INFO  - 2018-07-15 14:26:46.427; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/payam/Documents/business/website/projects/payamQorbanpour/solr-4.10.4/contrib/extraction/lib/vorbis-java-tika-0.1.jar' to classloader
INFO  - 2018-07-15 14:26:46.427; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/payam/Documents/business/website/projects/payamQorbanpour/solr-4.10.4/contrib/extraction/lib/tika-core-1.5.jar' to classloader
INFO  - 2018-07-15 14:26:46.427; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/payam/Documents/business/website/projects/payamQorbanpour/solr-4.10.4/contrib/extraction/lib/poi-3.10.1.jar' to classloader
INFO  - 2018-07-15 14:26:46.427; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/payam/Documents/business/website/projects/payamQorbanpour/solr-4.10.4/contrib/extraction/lib/boilerpipe-1.1.0.jar' to classloader
INFO  - 2018-07-15 14:26:46.428; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/payam/Documents/business/website/projects/payamQorbanpour/solr-4.10.4/contrib/extraction/lib/apache-mime4j-dom-0.7.2.jar' to classloader
INFO  - 2018-07-15 14:26:46.428; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/payam/Documents/business/website/projects/payamQorbanpour/solr-4.10.4/contrib/extraction/lib/jhighlight-1.0.jar' to classloader
